year,title,actors,description
1928,Wings,Clara Bow|Charles Rogers|Richard Arlen,Silent WWI aerial combat love triangle
1930,All Quiet on the Western Front,Lew Ayres|Louis Wolheim,German soldiers lose illusions in brutal WWI trenches
1931,Cimarron,Richard Dix|Irene Dunne,Oklahoma land rush pioneer saga spans fifty years
1932,Grand Hotel,Greta Garbo|John Barrymore|Joan Crawford,An actress, a baron, and a secretary's fates briefly collide in 1920s Berlin
1934,It Happened One Night,Clark Gable|Claudette Colbert,Runaway heiress falls for a reporter on the road
1935,Mutiny on the Bounty,Charles Laughton|Clark Gable,Crew rebels against a tyrannical captain on the high seas
1936,The Great Ziegfeld,William Powell|Myrna Loy|Luise Rainer,Lavish biography of Broadway's most extravagant impresario
1937,The Life of Emile Zola,Paul Muni,Novelist risks career defending a falsely accused officer
1938,You Can't Take It with You,James Stewart|Jean Arthur,Eccentric family clashes with wealthy snobbish in-laws
1939,Gone with the Wind,Clark Gable|Vivien Leigh|Hattie McDaniel,Southern belle survives Civil War and Reconstruction
1940,Rebecca,Laurence Olivier|Joan Fontaine,Young bride haunted by her husband's mysterious first wife
1941,How Green Was My Valley,Walter Pidgeon|Maureen O'Hara,Welsh mining family faces hardship and change
1942,Mrs. Miniver,Greer Garson|Walter Pidgeon,English village family endures WWII with quiet courage
1943,Casablanca,Humphrey Bogart|Ingrid Bergman|Paul Henreid,Cynical bar owner chooses sacrifice over love in wartime
1944,Going My Way,Bing Crosby|Barry Fitzgerald,Young priest brings new life to a struggling city parish
1945,Going My Way,Bing Crosby|Barry Fitzgerald,Young priest revives a struggling New York parish
1946,The Best Years of Our Lives,Fredric March|Dana Andrews|Harold Russell,Three WWII veterans struggle to readjust to civilian life
1947,Gentleman's Agreement,Gregory Peck|Dorothy McGuire,Journalist poses as Jewish to expose antisemitism in America
1948,Hamlet,Laurence Olivier,Grieving son discovers treachery behind his father's death and vows revenge
1949,All the King's Men,Broderick Crawford|Joanne Dru,Idealistic politician corrupted by power and ambition
1950,All About Eve,Bette Davis|Anne Baxter|George Sanders,Ambitious actress schemes to steal a Broadway star's career
1951,An American in Paris,Gene Kelly|Leslie Caron,GI turned painter falls for a French dancer already promised to another man
1952,The Greatest Show on Earth,Charlton Heston|Betty Hutton,Circus performers compete and fall in love under the big top
1953,From Here to Eternity,Burt Lancaster|Montgomery Clift|Deborah Kerr,Soldiers' lives intertwine before the attack on Pearl Harbor
